prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,14.4107
0,0,1,32,14.4323
0,0,1,64,14.6243
0,0,1,128,19.7767
0,0,1,256,20.203
0,0,1,512,21.4517
0,0,1,1024,28.7047
0,0,1,2048,36.758
0,0,1,4096,52.8553
0,0,1,8192,77.4203
0,0,1,16384,136.185
0,0,1,32768,247.537
0,0,2,16,20.0757
0,0,2,32,20.1727
0,0,2,64,20.406
0,0,2,128,23.9043
0,0,2,256,24.9287
0,0,2,512,32.1293
0,0,2,1024,38.956
0,0,2,2048,61.7727
0,0,2,4096,86.1893
0,0,2,8192,137.156
0,0,2,16384,236.86
0,0,2,32768,438.86
0,0,4,16,20.161
0,0,4,32,20.2777
0,0,4,64,20.715
0,0,4,128,24.6837
0,0,4,256,33.2923
0,0,4,512,45.42
0,0,4,1024,58.733
0,0,4,2048,85.656
0,0,4,4096,135.108
0,0,4,8192,235.879
0,0,4,16384,435.148
0,0,4,32768,836.887
0,0,8,16,20.5343
0,0,8,32,21.0033
0,0,8,64,21.7717
0,0,8,128,33.9317
0,0,8,256,46.156
0,0,8,512,59.8737
0,0,8,1024,85.3463
0,0,8,2048,135.662
0,0,8,4096,237.286
0,0,8,8192,439.522
0,0,8,16384,838.893
0,0,8,32768,1641.52
0,0,16,16,28.833
0,0,16,32,29.59
0,0,16,64,31.116
0,0,16,128,41.7613
0,0,16,256,55.532
0,0,16,512,80.749
0,0,16,1024,131.63
0,0,16,2048,233.34
0,0,16,4096,431.82
0,0,16,8192,833.399
0,0,16,16384,1630.49
0,0,16,32768,3237.46
0,0,32,16,44.3003
0,0,32,32,45.42
0,0,32,64,48.5673
0,0,32,128,69.8577
0,0,32,256,94.9997
0,0,32,512,145.678
0,0,32,1024,248.093
0,0,32,2048,447.82
0,0,32,4096,852.749
0,0,32,8192,1658.23
0,0,32,16384,3275.25
0,0,32,32768,6489.26
0,0,64,16,75.725
0,0,64,32,77.6347
0,0,64,64,79.842
0,0,64,128,124.27
0,0,64,256,174.661
0,0,64,512,277.138
0,0,64,1024,479.597
0,0,64,2048,880.856
0,0,64,4096,1689.02
0,0,64,8192,3322.48
0,0,64,16384,6542.34
0,0,128,16,139.364
0,0,128,32,140.473
0,0,128,64,143.78
0,0,128,128,235.772
0,0,128,256,335.689
0,0,128,512,534.81
0,0,128,1024,934.724
0,0,128,2048,1732.93
0,0,128,4096,3350.18
0,0,128,8192,6569.2
0,0,256,16,262.492
0,0,256,32,265.575
0,0,256,64,275.582
0,0,256,128,450.742
0,0,256,256,641.213
0,0,256,512,1027.28
0,0,256,1024,1806.97
0,0,256,2048,3366.35
0,0,256,4096,6523.52
16,0,0,0,14.4747
16,0,1,16,14.475
16,0,1,32,14.4643
16,0,1,64,14.5397
16,0,1,128,19.499
16,0,1,256,25.5047
16,0,1,512,37.3347
16,0,1,1024,61.1853
16,0,1,2048,109.678
16,0,1,4096,204.816
16,0,1,8192,395.627
16,0,1,16384,777.995
16,0,1,32768,1539.85
16,0,2,16,14.5397
16,0,2,32,14.614
16,0,2,64,14.5817
16,0,2,128,19.7447
16,0,2,256,25.5587
16,0,2,512,37.345
16,0,2,1024,61.9
16,0,2,2048,109.742
16,0,2,4096,205.884
16,0,2,8192,397.642
16,0,2,16384,780.832
16,0,2,32768,1545.72
16,0,4,16,22.3683
16,0,4,32,22.5283
16,0,4,64,22.614
16,0,4,128,29.1637
16,0,4,256,35.137
16,0,4,512,46.7317
16,0,4,1024,70.53
16,0,4,2048,118.104
16,0,4,4096,213.19
16,0,4,8192,402.582
16,0,4,16384,781.813
16,0,4,32768,1550.31
16,0,8,16,30.1873
16,0,8,32,30.177
16,0,8,64,30.454
16,0,8,128,41.27
16,0,8,256,53.4947
16,0,8,512,78.018
16,0,8,1024,125.368
16,0,8,2048,220.358
16,0,8,4096,411.083
16,0,8,8192,790.688
16,0,8,16384,1559.62
16,0,8,32768,3098.32
16,0,16,16,38.5397
16,0,16,32,39.0943
16,0,16,64,40.3633
16,0,16,128,61.815
16,0,16,256,86.2427
16,0,16,512,134.414
16,0,16,1024,231.761
16,0,16,2048,424.246
16,0,16,4096,811.393
16,0,16,8192,1582.03
16,0,16,16384,3138.88
16,0,16,32768,6235.94
16,0,32,16,69.2713
16,0,32,32,69.954
16,0,32,64,71.3833
16,0,32,128,115.759
16,0,32,256,164.004
16,0,32,512,259.879
16,0,32,1024,454.519
16,0,32,2048,839.073
16,0,32,4096,1609
16,0,32,8192,3170.55
16,0,32,16384,6346.48
16,0,32,32768,12650.2
16,0,64,16,131.011
16,0,64,32,132.43
16,0,64,64,134.841
16,0,64,128,223.953
16,0,64,256,323.358
16,0,64,512,522.937
16,0,64,1024,918.959
16,0,64,2048,1708.73
16,0,64,4096,3295.42
16,0,64,8192,6479.39
16,0,64,16384,12925.6
16,0,128,16,250.215
16,0,128,32,253.02
16,0,128,64,260.21
16,0,128,128,440.77
16,0,128,256,633.244
16,0,128,512,1015.39
16,0,128,1024,1782.97
16,0,128,2048,3331.15
16,0,128,4096,6458.59
16,0,128,8192,12750.3
16,16,0,0,14.71
16,16,1,16,14.5707
16,16,1,32,14.7207
16,16,1,64,14.891
16,16,1,128,19.584
16,16,1,256,25.494
16,16,1,512,37.3133
16,16,1,1024,61.207
16,16,1,2048,109.635
16,16,1,4096,204.848
16,16,1,8192,396.342
16,16,1,16384,778.261
16,16,1,32768,1546.77
16,16,2,16,14.7527
16,16,2,32,14.891
16,16,2,64,15.0293
16,16,2,128,19.6917
16,16,2,256,25.5683
16,16,2,512,37.441
16,16,2,1024,62.0497
16,16,2,2048,109.838
16,16,2,4096,205.67
16,16,2,8192,396.992
16,16,2,16384,778.859
16,16,2,32768,1541.81
16,16,4,16,22.614
16,16,4,32,22.763
16,16,4,64,23.243
16,16,4,128,29.2913
16,16,4,256,35.126
16,16,4,512,46.956
16,16,4,1024,70.541
16,16,4,2048,117.998
16,16,4,4096,213.499
16,16,4,8192,403.766
16,16,4,16384,781.505
16,16,4,32768,1548.34
16,16,8,16,30.3687
16,16,8,32,30.71
16,16,8,64,31.3393
16,16,8,128,41.313
16,16,8,256,53.3567
16,16,8,512,77.8263
16,16,8,1024,125.817
16,16,8,2048,220.561
16,16,8,4096,410.592
16,16,8,8192,792.417
16,16,8,16384,1560.09
16,16,8,32768,3096.97
16,16,16,16,38.5183
16,16,16,32,39.116
16,16,16,64,40.364
16,16,16,128,61.6873
16,16,16,256,86.1677
16,16,16,512,134.467
16,16,16,1024,231.729
16,16,16,2048,425.239
16,16,16,4096,811.553
16,16,16,8192,1584.76
16,16,16,16384,3128.44
16,16,16,32768,6228.54
16,16,32,16,69.634
16,16,32,32,70.242
16,16,32,64,71.8523
16,16,32,128,115.747
16,16,32,256,163.877
16,16,32,512,260.103
16,16,32,1024,454.967
16,16,32,2048,838.807
16,16,32,4096,1609.69
16,16,32,8192,3172.45
16,16,32,16384,6343.16
16,16,32,32768,12642.7
16,16,64,16,131.311
16,16,64,32,132.655
16,16,64,64,135.289
16,16,64,128,224.081
16,16,64,256,323.177
16,16,64,512,522.19
16,16,64,1024,920.527
16,16,64,2048,1711.75
16,16,64,4096,3292.85
16,16,64,8192,6490.59
16,16,64,16384,12920.3
16,16,128,16,250.3
16,16,128,32,253.052
16,16,128,64,260.69
16,16,128,128,440.897
16,16,128,256,633.308
16,16,128,512,1015.12
16,16,128,1024,1784.28
16,16,128,2048,3337.85
16,16,128,4096,6470.11
16,16,128,8192,12757.6
16,32,0,0,14.6777
16,32,1,16,14.6777
16,32,1,32,14.7847
16,32,1,64,14.806
16,32,1,128,19.5957
16,32,1,256,25.5157
16,32,1,512,37.3773
16,32,1,1024,61.218
16,32,1,2048,109.4
16,32,1,4096,204.88
16,32,1,8192,395.51
16,32,1,16384,777.078
16,32,1,32768,1544.03
16,32,2,16,14.6987
16,32,2,32,14.902
16,32,2,64,15.1043
16,32,2,128,19.6807
16,32,2,256,25.5797
16,32,2,512,37.3983
16,32,2,1024,61.9007
16,32,2,2048,109.784
16,32,2,4096,205.787
16,32,2,8192,397.131
16,32,2,16384,779.745
16,32,2,32768,1545.8
16,32,4,16,22.5813
16,32,4,32,22.8807
16,32,4,64,23.4353
16,32,4,128,29.3657
16,32,4,256,35.2013
16,32,4,512,47.02
16,32,4,1024,70.765
16,32,4,2048,118.094
16,32,4,4096,213.499
16,32,4,8192,403.254
16,32,4,16384,782.507
16,32,4,32768,1547.71
16,32,8,16,30.3793
16,32,8,32,30.7847
16,32,8,64,31.3717
16,32,8,128,41.7717
16,32,8,256,53.6547
16,32,8,512,78.583
16,32,8,1024,125.657
16,32,8,2048,220.23
16,32,8,4096,411.361
16,32,8,8192,791.616
16,32,8,16384,1560.32
16,32,8,32768,3097.29
16,32,16,16,38.657
16,32,16,32,39.0623
16,32,16,64,40.609
16,32,16,128,61.581
16,32,16,256,85.9543
16,32,16,512,134.35
16,32,16,1024,231.558
16,32,16,2048,425.687
16,32,16,4096,810.999
16,32,16,8192,1583.67
16,32,16,16384,3130.55
16,32,16,32768,6228.58
16,32,32,16,69.8047
16,32,32,32,70.274
16,32,32,64,71.757
16,32,32,128,115.673
16,32,32,256,163.727
16,32,32,512,260.114
16,32,32,1024,455.128
16,32,32,2048,840.109
16,32,32,4096,1614.93
16,32,32,8192,3167.95
16,32,32,16384,6330.24
16,32,32,32768,12619.9
16,32,64,16,131.257
16,32,64,32,132.707
16,32,64,64,135.577
16,32,64,128,224.369
16,32,64,256,323.454
16,32,64,512,522.297
16,32,64,1024,918.564
16,32,64,2048,1711.97
16,32,64,4096,3303.21
16,32,64,8192,6494.56
16,32,64,16384,12935.2
16,32,128,16,250.226
16,32,128,32,253.222
16,32,128,64,260.572
16,32,128,128,440.887
16,32,128,256,633.479
16,32,128,512,1015.29
16,32,128,1024,1782.79
16,32,128,2048,3332.63
16,32,128,4096,6454.39
16,32,128,8192,12761
16,64,0,0,14.8483
16,64,1,16,14.6133
16,64,1,32,14.7627
16,64,1,64,14.934
16,64,1,128,19.6063
16,64,1,256,25.4943
16,64,1,512,37.3453
16,64,1,1024,61.2393
16,64,1,2048,109.518
16,64,1,4096,204.966
16,64,1,8192,396.438
16,64,1,16384,777.76
16,64,1,32768,1541.98
16,64,2,16,14.7733
16,64,2,32,14.8807
16,64,2,64,15.3397
16,64,2,128,19.649
16,64,2,256,25.6117
16,64,2,512,37.4303
16,64,2,1024,61.9857
16,64,2,2048,109.806
16,64,2,4096,205.968
16,64,2,8192,397.387
16,64,2,16384,779.457
16,64,2,32768,1544.49
16,64,4,16,22.8373
16,64,4,32,22.923
16,64,4,64,23.467
16,64,4,128,29.4937
16,64,4,256,35.4783
16,64,4,512,47.4357
16,64,4,1024,70.818
16,64,4,2048,118.126
16,64,4,4096,214.214
16,64,4,8192,403.051
16,64,4,16384,782.891
16,64,4,32768,1548.76
16,64,8,16,30.4113
16,64,8,32,30.9333
16,64,8,64,31.457
16,64,8,128,41.7503
16,64,8,256,54.0713
16,64,8,512,78.093
16,64,8,1024,125.71
16,64,8,2048,220.668
16,64,8,4096,411.745
16,64,8,8192,792.119
16,64,8,16384,1558.67
16,64,8,32768,3097.4
16,64,16,16,38.6037
16,64,16,32,39.1693
16,64,16,64,40.396
16,64,16,128,61.6873
16,64,16,256,86.4347
16,64,16,512,134.468
16,64,16,1024,232.465
16,64,16,2048,425.196
16,64,16,4096,810.156
16,64,16,8192,1581.14
16,64,16,16384,3132.94
16,64,16,32768,6228.73
16,64,32,16,69.6557
16,64,32,32,70.2633
16,64,32,64,71.8953
16,64,32,128,116.067
16,64,32,256,163.834
16,64,32,512,260.103
16,64,32,1024,455.063
16,64,32,2048,839.426
16,64,32,4096,1612.7
16,64,32,8192,3166.15
16,64,32,16384,6333.62
16,64,32,32768,12635.4
16,64,64,16,131.204
16,64,64,32,132.921
16,64,64,64,135.428
16,64,64,128,224.112
16,64,64,256,323.764
16,64,64,512,523.46
16,64,64,1024,919.172
16,64,64,2048,1710.76
16,64,64,4096,3306.57
16,64,64,8192,6512.51
16,64,64,16384,12928.7
16,64,128,16,250.194
16,64,128,32,253.148
16,64,128,64,261.223
16,64,128,128,441.847
16,64,128,256,633.565
16,64,128,512,1015.82
16,64,128,1024,1783.45
16,64,128,2048,3335.52
16,64,128,4096,6465.86
16,64,128,8192,12752.7
16,128,0,0,20.502
16,128,1,16,19.7557
16,128,1,32,19.6913
16,128,1,64,19.7553
16,128,1,128,20.4593
16,128,1,256,25.4833
16,128,1,512,37.377
16,128,1,1024,61.1857
16,128,1,2048,109.507
16,128,1,4096,204.731
16,128,1,8192,394.784
16,128,1,16384,777.749
16,128,1,32768,1542.49
16,128,2,16,19.6807
16,128,2,32,19.691
16,128,2,64,19.723
16,128,2,128,20.555
16,128,2,256,25.6323
16,128,2,512,37.473
16,128,2,1024,61.9647
16,128,2,2048,109.891
16,128,2,4096,205.883
16,128,2,8192,397.28
16,128,2,16384,780.481
16,128,2,32768,1544.38
16,128,4,16,28.6197
16,128,4,32,28.833
16,128,4,64,28.8647
16,128,4,128,34.2087
16,128,4,256,41.217
16,128,4,512,52.78
16,128,4,1024,76.3967
16,128,4,2048,124.366
16,128,4,4096,219.174
16,128,4,8192,408.833
16,128,4,16384,786.743
16,128,4,32768,1549.29
16,128,8,16,32.9827
16,128,8,32,33.014
16,128,8,64,33.1097
16,128,8,128,47.7773
16,128,8,256,60.2153
16,128,8,512,84.2477
16,128,8,1024,132.195
16,128,8,2048,227.633
16,128,8,4096,417.419
16,128,8,8192,796.118
16,128,8,16384,1560.67
16,128,8,32768,3097.51
16,128,16,16,44.449
16,128,16,32,44.6623
16,128,16,64,45.7183
16,128,16,128,62.2103
16,128,16,256,86.146
16,128,16,512,134.307
16,128,16,1024,231.655
16,128,16,2048,424.726
16,128,16,4096,811.009
16,128,16,8192,1587.61
16,128,16,16384,3142.64
16,128,16,32768,6242.78
16,128,32,16,74.978
16,128,32,32,75.8633
16,128,32,64,77.2607
16,128,32,128,117.006
16,128,32,256,164.058
16,128,32,512,260.21
16,128,32,1024,454.7
16,128,32,2048,839.383
16,128,32,4096,1610.19
16,128,32,8192,3171.55
16,128,32,16384,6340.04
16,128,32,32768,12642.5
16,128,64,16,131.353
16,128,64,32,133.113
16,128,64,64,136.046
16,128,64,128,226.886
16,128,64,256,324.169
16,128,64,512,521.017
16,128,64,1024,917.519
16,128,64,2048,1710.64
16,128,64,4096,3298.04
16,128,64,8192,6483.3
16,128,64,16384,12933.3
16,128,128,16,250.866
16,128,128,32,253.607
16,128,128,64,260.668
16,128,128,128,442.69
16,128,128,256,636.039
16,128,128,512,1016.43
16,128,128,1024,1783.29
16,128,128,2048,3334.91
16,128,128,4096,6462.2
16,128,128,8192,12755.2
16,256,0,0,26.4117
16,256,1,16,25.6967
16,256,1,32,25.697
16,256,1,64,25.7183
16,256,1,128,25.6967
16,256,1,256,26.4113
16,256,1,512,37.335
16,256,1,1024,61.1967
16,256,1,2048,109.571
16,256,1,4096,205.19
16,256,1,8192,395.403
16,256,1,16384,777.899
16,256,1,32768,1539.35
16,256,2,16,25.5153
16,256,2,32,25.5153
16,256,2,64,25.5153
16,256,2,128,25.5043
16,256,2,256,26.486
16,256,2,512,37.4303
16,256,2,1024,61.9857
16,256,2,2048,109.902
16,256,2,4096,205.926
16,256,2,8192,397.654
16,256,2,16384,780.843
16,256,2,32768,1546.26
16,256,4,16,34.4543
16,256,4,32,34.6147
16,256,4,64,34.8597
16,256,4,128,40.439
16,256,4,256,46.508
16,256,4,512,60.1407
16,256,4,1024,84.002
16,256,4,2048,131.161
16,256,4,4096,225.723
16,256,4,8192,415.543
16,256,4,16384,793.558
16,256,4,32768,1552.41
16,256,8,16,41.9747
16,256,8,32,42.4223
16,256,8,64,42.8603
16,256,8,128,47.8197
16,256,8,256,66.306
16,256,8,512,90.8303
16,256,8,1024,138.457
16,256,8,2048,234.236
16,256,8,4096,422.497
16,256,8,8192,803.393
16,256,8,16384,1561.1
16,256,8,32768,3096.32
16,256,16,16,53.6447
16,256,16,32,53.6977
16,256,16,64,54.0713
16,256,16,128,68.9193
16,256,16,256,87.138
16,256,16,512,134.017
16,256,16,1024,231.921
16,256,16,2048,425.362
16,256,16,4096,811.529
16,256,16,8192,1584.45
16,256,16,16384,3136.98
16,256,16,32768,6233.36
16,256,32,16,81.111
16,256,32,32,81.954
16,256,32,64,83.9053
16,256,32,128,121.673
16,256,32,256,165.401
16,256,32,512,259.183
16,256,32,1024,454.415
16,256,32,2048,839.676
16,256,32,4096,1610.33
16,256,32,8192,3174.61
16,256,32,16384,6343.63
16,256,32,32768,12658.2
16,256,64,16,135.804
16,256,64,32,137.339
16,256,64,64,140.295
16,256,64,128,226.483
16,256,64,256,326.696
16,256,64,512,523.22
16,256,64,1024,915.436
16,256,64,2048,1709.35
16,256,64,4096,3304.52
16,256,64,8192,6494.38
16,256,64,16384,12910.4
16,256,128,16,251.249
16,256,128,32,254.3
16,256,128,64,262.384
16,256,128,128,443.624
16,256,128,256,636.564
16,256,128,512,1016.99
16,256,128,1024,1783.48
16,256,128,2048,3334.75
16,256,128,4096,6467.35
16,256,128,8192,12753.1
16,512,0,0,38.077
16,512,1,16,37.5433
16,512,1,32,37.4897
16,512,1,64,37.468
16,512,1,128,37.596
16,512,1,256,37.618
16,512,1,512,38.076
16,512,1,1024,61.2733
16,512,1,2048,109.664
16,512,1,4096,204.897
16,512,1,8192,395.651
16,512,1,16384,776.819
16,512,1,32768,1539.87
16,512,2,16,37.3507
16,512,2,32,37.3403
16,512,2,64,37.351
16,512,2,128,37.3827
16,512,2,256,37.4683
16,512,2,512,38.1727
16,512,2,1024,61.754
16,512,2,2048,109.834
16,512,2,4096,206.507
16,512,2,8192,397.699
16,512,2,16384,780.074
16,512,2,32768,1544.27
16,512,4,16,46.1507
16,512,4,32,46.4487
16,512,4,64,46.7583
16,512,4,128,52.1653
16,512,4,256,58.5337
16,512,4,512,70.479
16,512,4,1024,95.7667
16,512,4,2048,143.848
16,512,4,4096,239.998
16,512,4,8192,433.248
16,512,4,16384,816.465
16,512,4,32768,1587.4
16,512,8,16,53.755
16,512,8,32,54.0323
16,512,8,64,54.5543
16,512,8,128,65.4767
16,512,8,256,68.6767
16,512,8,512,101.718
16,512,8,1024,150.887
16,512,8,2048,247.272
16,512,8,4096,439.989
16,512,8,8192,827.227
16,512,8,16384,1596.48
16,512,8,32768,3139.06
16,512,16,16,69.1243
16,512,16,32,69.476
16,512,16,64,70.2227
16,512,16,128,83.2033
16,512,16,256,99.2973
16,512,16,512,135.208
16,512,16,1024,231.21
16,512,16,2048,424.61
16,512,16,4096,811.742
16,512,16,8192,1583.63
16,512,16,16384,3145.3
16,512,16,32768,6243.21
16,512,32,16,93.186
16,512,32,32,93.7617
16,512,32,64,95.6497
16,512,32,128,133.769
16,512,32,256,176.581
16,512,32,512,260.381
16,512,32,1024,454.005
16,512,32,2048,841.447
16,512,32,4096,1612.53
16,512,32,8192,3175.07
16,512,32,16384,6362.12
16,512,32,32768,12661.3
16,512,64,16,147.997
16,512,64,32,149.448
16,512,64,64,152.359
16,512,64,128,231.105
16,512,64,256,326.039
16,512,64,512,526.714
16,512,64,1024,918.913
16,512,64,2048,1711.78
16,512,64,4096,3297.16
16,512,64,8192,6488.41
16,512,64,16384,12948.5
16,512,128,16,264.649
16,512,128,32,267.326
16,512,128,64,273.351
16,512,128,128,445.933
16,512,128,256,638.076
16,512,128,512,1020.09
16,512,128,1024,1784.31
16,512,128,2048,3332.85
16,512,128,4096,6461.28
16,512,128,8192,12862.7
16,1024,0,0,61.9783
16,1024,1,16,61.413
16,1024,1,32,61.4133
16,1024,1,64,61.3603
16,1024,1,128,61.403
16,1024,1,256,61.4243
16,1024,1,512,61.5097
16,1024,1,1024,61.8833
16,1024,1,2048,108.77
16,1024,1,4096,205.146
16,1024,1,8192,395.081
16,1024,1,16384,778.271
16,1024,1,32768,1543.43
16,1024,2,16,61.2323
16,1024,2,32,61.2963
16,1024,2,64,61.3383
16,1024,2,128,61.3287
16,1024,2,256,61.3813
16,1024,2,512,61.3923
16,1024,2,1024,62.054
16,1024,2,2048,109.601
16,1024,2,4096,205.402
16,1024,2,8192,396.34
16,1024,2,16384,780.233
16,1024,2,32768,1544.04
16,1024,4,16,69.5407
16,1024,4,32,70.1807
16,1024,4,64,70.607
16,1024,4,128,75.5667
16,1024,4,256,82.2547
16,1024,4,512,94.03
16,1024,4,1024,117.985
16,1024,4,2048,168.338
16,1024,4,4096,265.727
16,1024,4,8192,457.316
16,1024,4,16384,842.351
16,1024,4,32768,1609.27
16,1024,8,16,77.0917
16,1024,8,32,77.4117
16,1024,8,64,77.8283
16,1024,8,128,88.8667
16,1024,8,256,101.581
16,1024,8,512,116.673
16,1024,8,1024,172.903
16,1024,8,2048,271.082
16,1024,8,4096,464.57
16,1024,8,8192,850.469
16,1024,8,16384,1619.92
16,1024,8,32768,3165.55
16,1024,16,16,92.4723
16,1024,16,32,92.8667
16,1024,16,64,93.859
16,1024,16,128,115.958
16,1024,16,256,136.085
16,1024,16,512,160.787
16,1024,16,1024,232.28
16,1024,16,2048,425.213
16,1024,16,4096,812.253
16,1024,16,8192,1589.51
16,1024,16,16384,3142.13
16,1024,16,32768,6242.51
16,1024,32,16,123.371
16,1024,32,32,124.352
16,1024,32,64,125.377
16,1024,32,128,157.63
16,1024,32,256,199.952
16,1024,32,512,283.518
16,1024,32,1024,454.876
16,1024,32,2048,841.053
16,1024,32,4096,1614.61
16,1024,32,8192,3174.35
16,1024,32,16384,6353.42
16,1024,32,32768,12661.5
16,1024,64,16,178.642
16,1024,64,32,179.869
16,1024,64,64,182.439
16,1024,64,128,256.364
16,1024,64,256,344.41
16,1024,64,512,527.776
16,1024,64,1024,925.164
16,1024,64,2048,1707.15
16,1024,64,4096,3300.35
16,1024,64,8192,6487.43
16,1024,64,16384,12915.7
16,1024,128,16,289.278
16,1024,128,32,291.252
16,1024,128,64,299.07
16,1024,128,128,466.107
16,1024,128,256,641.754
16,1024,128,512,1022.27
16,1024,128,1024,1790.83
16,1024,128,2048,3336.91
16,1024,128,4096,6466.99
