layer,sequences,time_us
lm_head,1,219.418
lm_head,2,259.835
lm_head,3,262.342
lm_head,4,262.075
lm_head,5,273.328
lm_head,6,272.998
lm_head,7,274.011
lm_head,8,273.478
lm_head,9,274.79
lm_head,10,274.928
lm_head,11,276.881
lm_head,12,276.038
lm_head,13,277.435
lm_head,14,278.747
lm_head,15,278.801
lm_head,16,280.358
lm_head,20,254.288
lm_head,24,255.035
lm_head,28,256.07
lm_head,32,253.221
lm_head,36,253.328
lm_head,40,252.933
lm_head,44,254.63
lm_head,48,254.501
lm_head,52,255.429
lm_head,56,256.325
lm_head,60,258.651
lm_head,64,256.912
lm_head,80,410.451
lm_head,96,411.006
lm_head,112,412.169
lm_head,128,412.446
lm_head,144,585.922
lm_head,160,586.231
lm_head,176,586.551
lm_head,192,714.874
lm_head,208,715.78
lm_head,224,715.866
lm_head,240,716.335
lm_head,256,717.199
sampler,1,13.419
sampler,2,13.9523
sampler,3,15.542
sampler,4,17.4083
sampler,5,20.3743
sampler,6,23.4353
sampler,7,24.2997
sampler,8,27.19
sampler,9,29.9313
sampler,10,32.332
sampler,11,35.329
sampler,12,37.558
sampler,13,41.1957
sampler,14,44.897
sampler,15,46.8173
sampler,16,48.7263
sampler,20,60.3003
sampler,24,70.8927
sampler,28,81.0583
sampler,32,90.4883
sampler,36,101.529
sampler,40,109.891
sampler,44,121.508
sampler,48,127.684
sampler,52,138.948
sampler,56,151.108
sampler,60,159.855
sampler,64,167.002
sampler,80,207.12
sampler,96,233.991
sampler,112,279.891
sampler,128,307.433
sampler,144,341.289
sampler,160,374.656
sampler,176,409.302
sampler,192,445.292
sampler,208,509.007
sampler,224,535.631
sampler,240,565.872
sampler,256,596.369
