regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,57.376,58.722,58.595,0.9056
pure,2,1,0.5,4.0,0,0,512,2048,1280,62.657,67.745,65.6,0.5784
pure,2,1,0.5,4.0,0,0,2048,8192,5120,105.409,129.86,117.987,0.5144
pure,2,1,0.5,4.0,0,0,8192,32768,20480,217.157,273.256,188.805,-0.5054
mixed,2,1,0.5,4.0,16,0,128,512,320,75.809,109.506,108.93,0.9829
mixed,2,1,0.5,4.0,16,0,512,2048,1280,218.086,326.184,323.239,0.9728
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,759.091,1190.843,1184.124,0.9844
mixed,2,1,0.5,4.0,16,0,8192,32768,20480,2918.31,4644.495,4645.327,1.0005
mixed,2,1,0.5,4.0,16,512,128,512,320,110.596,111.203,110.85,0.4185
mixed,2,1,0.5,4.0,16,512,512,2048,1280,218.118,326.665,324.328,0.9785
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,760.081,1192.508,1183.643,0.9795
mixed,2,1,0.5,4.0,16,512,8192,32768,20480,2921.733,4648.913,4639.66,0.9946
mixed,2,1,0.5,4.0,16,2048,128,512,320,327.081,327.272,327.176,0.4974
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,327.656,327.398,327.271,
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,760.116,1192.701,1187.451,0.9879
mixed,2,1,0.5,4.0,16,2048,8192,32768,20480,2921.797,4649.165,4621.837,0.9842
mixed,2,1,0.5,4.0,16,8192,128,512,320,1193.627,1194.012,1193.692,0.1688
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,1193.948,1193.852,1193.821,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,1194.718,1194.3,1193.757,
mixed,2,1,0.5,4.0,16,8192,8192,32768,20480,2922.117,4649.229,4634.062,0.9912
mixed,2,1,0.5,4.0,16,20480,128,512,320,2919.492,2923.75,2924.036,1.0672
mixed,2,1,0.5,4.0,16,20480,512,2048,1280,2923.94,2924.294,2923.877,-0.178
mixed,2,1,0.5,4.0,16,20480,2048,8192,5120,2924.004,2924.775,2924.518,0.6667
mixed,2,1,0.5,4.0,16,20480,8192,32768,20480,2923.109,4649.294,4638.701,0.9939
mixed,2,1,0.5,4.0,64,0,128,512,320,76.355,110.084,109.443,0.981
mixed,2,1,0.5,4.0,64,0,512,2048,1280,218.597,327.432,324.647,0.9744
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,760.275,1192.603,1187.26,0.9876
mixed,2,1,0.5,4.0,64,0,8192,32768,20480,2919.398,4647.341,4648.749,1.0008
mixed,2,1,0.5,4.0,64,512,128,512,320,113.121,112.931,112.93,
mixed,2,1,0.5,4.0,64,512,512,2048,1280,218.852,326.376,325.576,0.9926
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,759.698,1192.316,1187.452,0.9888
mixed,2,1,0.5,4.0,64,512,8192,32768,20480,2919.62,4647.661,4648.972,1.0008
mixed,2,1,0.5,4.0,64,2048,128,512,320,329.321,329.449,329.542,1.7266
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,329.832,329.992,329.672,-1.0
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,759.249,1193.085,1187.388,0.9869
mixed,2,1,0.5,4.0,64,2048,8192,32768,20480,2919.174,4646.766,4648.909,1.0012
mixed,2,1,0.5,4.0,64,8192,128,512,320,1196.029,1195.934,1195.805,
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,1195.804,1195.804,1195.805,
mixed,2,1,0.5,4.0,64,8192,2048,8192,5120,1196.219,1196.124,1196.219,
mixed,2,1,0.5,4.0,64,8192,8192,32768,20480,2923.303,4647.086,4649.358,1.0013
mixed,2,1,0.5,4.0,64,20480,128,512,320,2926.597,2925.474,2926.596,
mixed,2,1,0.5,4.0,64,20480,512,2048,1280,2925.892,2926.309,2926.309,1.0
mixed,2,1,0.5,4.0,64,20480,2048,8192,5120,2925.828,2926.15,2925.636,-0.5963
mixed,2,1,0.5,4.0,64,20480,8192,32768,20480,2923.844,4647.822,4649.357,1.0009
mixed,2,1,0.5,4.0,256,0,128,512,320,78.594,112.258,112.067,0.9943
mixed,2,1,0.5,4.0,256,0,512,2048,1280,220.39,328.678,327.655,0.9906
mixed,2,1,0.5,4.0,256,0,2048,8192,5120,761.265,1193.115,1190.332,0.9936
mixed,2,1,0.5,4.0,256,0,8192,32768,20480,2921.316,4645.804,4652.557,1.0039
mixed,2,1,0.5,4.0,256,512,128,512,320,132.099,132.322,131.939,-0.7175
mixed,2,1,0.5,4.0,256,512,512,2048,1280,220.644,329.158,327.848,0.9879
mixed,2,1,0.5,4.0,256,512,2048,8192,5120,763.186,1193.499,1190.556,0.9932
mixed,2,1,0.5,4.0,256,512,8192,32768,20480,2922.019,4655.726,4656.715,1.0006
mixed,2,1,0.5,4.0,256,2048,128,512,320,343.527,343.465,343.272,
mixed,2,1,0.5,4.0,256,2048,512,2048,1280,344.903,345.512,343.656,-2.0476
mixed,2,1,0.5,4.0,256,2048,2048,8192,5120,761.49,1192.987,1189.339,0.9915
mixed,2,1,0.5,4.0,256,2048,8192,32768,20480,2917.667,4646.604,4649.9,1.0019
mixed,2,1,0.5,4.0,256,8192,128,512,320,1195.581,1196.988,1195.772,0.1357
mixed,2,1,0.5,4.0,256,8192,512,2048,1280,1196.123,1196.349,1196.284,0.7124
mixed,2,1,0.5,4.0,256,8192,2048,8192,5120,1196.605,1195.579,1195.612,
mixed,2,1,0.5,4.0,256,8192,8192,32768,20480,2918.434,4648.908,4651.98,1.0018
mixed,2,1,0.5,4.0,256,20480,128,512,320,2923.076,2923.299,2923.462,1.7309
mixed,2,1,0.5,4.0,256,20480,512,2048,1280,2923.875,2923.363,2923.491,
mixed,2,1,0.5,4.0,256,20480,2048,8192,5120,2923.139,2921.828,2922.148,
mixed,2,1,0.5,4.0,256,20480,8192,32768,20480,2921.923,4656.906,4656.939,1.0
mixed,2,1,0.5,4.0,1024,0,128,512,320,172.644,172.388,172.548,
mixed,2,1,0.5,4.0,1024,0,512,2048,1280,226.981,334.215,332.199,0.9812
mixed,2,1,0.5,4.0,1024,0,2048,8192,5120,766.897,1197.052,1190.653,0.9851
mixed,2,1,0.5,4.0,1024,0,8192,32768,20480,2920.772,4638.731,4635.369,0.998
mixed,2,1,0.5,4.0,1024,512,128,512,320,243.174,243.205,243.109,-2.0968
mixed,2,1,0.5,4.0,1024,512,512,2048,1280,243.429,334.92,332.679,0.9755
mixed,2,1,0.5,4.0,1024,512,2048,8192,5120,765.777,1199.131,1190.236,0.9795
mixed,2,1,0.5,4.0,1024,512,8192,32768,20480,2922.083,4642.669,4642.54,0.9999
mixed,2,1,0.5,4.0,1024,2048,128,512,320,453.772,453.29,453.705,
mixed,2,1,0.5,4.0,1024,2048,512,2048,1280,453.931,454.154,453.802,-0.5785
mixed,2,1,0.5,4.0,1024,2048,2048,8192,5120,767.121,1195.132,1191.804,0.9922
mixed,2,1,0.5,4.0,1024,2048,8192,32768,20480,2918.433,4638.667,4639.435,1.0004
mixed,2,1,0.5,4.0,1024,8192,128,512,320,1296.832,1296.797,1299.037,
mixed,2,1,0.5,4.0,1024,8192,512,2048,1280,1295.613,1297.566,1298.269,1.36
mixed,2,1,0.5,4.0,1024,8192,2048,8192,5120,1298.206,1297.918,1299.07,
mixed,2,1,0.5,4.0,1024,8192,8192,32768,20480,2921.189,4643.242,4636.745,0.9962
mixed,2,1,0.5,4.0,1024,20480,128,512,320,2986.627,2993.027,2989.414,0.4355
mixed,2,1,0.5,4.0,1024,20480,512,2048,1280,2987.589,2988.933,2988.611,0.7604
mixed,2,1,0.5,4.0,1024,20480,2048,8192,5120,2989.317,2989.637,2990.853,4.8
mixed,2,1,0.5,4.0,1024,20480,8192,32768,20480,2989.444,4644.81,4626.763,0.9891
mixed,2,1,0.5,4.0,4096,0,128,512,320,971.958,971.668,973.911,
mixed,2,1,0.5,4.0,4096,0,512,2048,1280,969.142,970.262,970.298,1.0321
mixed,2,1,0.5,4.0,4096,0,2048,8192,5120,1190.235,1615.43,1577.572,0.911
mixed,2,1,0.5,4.0,4096,0,8192,32768,20480,3309.869,4988.787,4968.658,0.988
mixed,2,1,0.5,4.0,4096,512,128,512,320,1138.78,1139.034,1138.618,-0.6378
mixed,2,1,0.5,4.0,4096,512,512,2048,1280,1138.65,1139.771,1141.02,2.1142
mixed,2,1,0.5,4.0,4096,512,2048,8192,5120,1302.11,1727.431,1689.32,0.9104
mixed,2,1,0.5,4.0,4096,512,8192,32768,20480,3448.176,5166.934,5081.72,0.9504
mixed,2,1,0.5,4.0,4096,2048,128,512,320,1625.574,1625.06,1624.135,
mixed,2,1,0.5,4.0,4096,2048,512,2048,1280,1624.931,1626.341,1626.885,1.3858
mixed,2,1,0.5,4.0,4096,2048,2048,8192,5120,1646.726,2025.455,1977.647,0.8738
mixed,2,1,0.5,4.0,4096,2048,8192,32768,20480,3750.361,5475.615,5409.401,0.9616
mixed,2,1,0.5,4.0,4096,8192,128,512,320,3354.286,3357.934,3355.596,0.3591
mixed,2,1,0.5,4.0,4096,8192,512,2048,1280,3356.717,3357.005,3357.869,4.0
mixed,2,1,0.5,4.0,4096,8192,2048,8192,5120,3369.392,3369.997,3365.615,-6.243
mixed,2,1,0.5,4.0,4096,8192,8192,32768,20480,4692.044,6404.596,6346.991,0.9664
mixed,2,1,0.5,4.0,4096,20480,128,512,320,6715.451,6716.732,6714.171,-0.9992
mixed,2,1,0.5,4.0,4096,20480,512,2048,1280,6716.535,6714.718,6715.419,
mixed,2,1,0.5,4.0,4096,20480,2048,8192,5120,6726.072,6720.951,6722.399,
mixed,2,1,0.5,4.0,4096,20480,8192,32768,20480,6720.41,8113.496,8049.94,0.9544
mixed,2,1,0.5,4.0,16384,0,128,512,320,9893.156,9885.692,9884.229,
mixed,2,1,0.5,4.0,16384,0,512,2048,1280,9878.367,9887.52,9888.868,1.1473
mixed,2,1,0.5,4.0,16384,0,2048,8192,5120,9919.776,9905.373,9911.336,
mixed,2,1,0.5,4.0,16384,0,8192,32768,20480,10859.894,12641.853,12451.58,0.8932
mixed,2,1,0.5,4.0,16384,512,128,512,320,10432.59,10435.79,10430.99,-0.5
mixed,2,1,0.5,4.0,16384,512,512,2048,1280,10462.895,10464.46,10460.497,-1.5323
mixed,2,1,0.5,4.0,16384,512,2048,8192,5120,10497.163,10503.888,10512.721,2.3135
mixed,2,1,0.5,4.0,16384,512,8192,32768,20480,11331.741,13096.23,12906.472,0.8925
mixed,2,1,0.5,4.0,16384,2048,128,512,320,12170.099,12156.824,12147.09,
mixed,2,1,0.5,4.0,16384,2048,512,2048,1280,12160.212,12161.304,12145.619,-13.3636
mixed,2,1,0.5,4.0,16384,2048,2048,8192,5120,12194.579,12197.944,12171.968,-6.7195
mixed,2,1,0.5,4.0,16384,2048,8192,32768,20480,12797.444,14566.375,14373.101,0.8907
mixed,2,1,0.5,4.0,16384,8192,128,512,320,18872.716,18870.644,18853.541,
mixed,2,1,0.5,4.0,16384,8192,512,2048,1280,18860.278,18847.534,18868.432,
mixed,2,1,0.5,4.0,16384,8192,2048,8192,5120,18842.985,18940.182,18894.861,0.5337
mixed,2,1,0.5,4.0,16384,8192,8192,32768,20480,18981.514,20678.512,20426.647,0.8516
mixed,2,1,0.5,4.0,16384,20480,128,512,320,32308.286,32313.945,32313.505,0.9222
mixed,2,1,0.5,4.0,16384,20480,512,2048,1280,32318.493,32298.207,32310.871,
mixed,2,1,0.5,4.0,16384,20480,2048,8192,5120,32298.384,32426.687,32396.93,0.7681
mixed,2,1,0.5,4.0,16384,20480,8192,32768,20480,32431.776,32477.346,32458.408,0.5844
mixed,2,1,0.5,4.0,32768,0,128,512,320,36565.477,36610.015,36615.135,1.115
mixed,2,1,0.5,4.0,32768,0,512,2048,1280,34804.134,31903.051,31865.771,
mixed,2,1,0.5,4.0,32768,0,2048,8192,5120,31920.847,31913.21,31917.85,
mixed,2,1,0.5,4.0,32768,0,8192,32768,20480,31985.404,32559.206,32185.655,0.349
