pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=16k,kp=0,0.2403,2
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.179,2
0,n<=128,sr<=15%,kvB<=32k,kp=0,0.254,2
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.2309,2
0,n<=128,sr<=40%,kvB<=16k,kp=0,0.0865,1
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.2517,1
0,n<=128,sr<=40%,kvB<=32k,kp=0,0.1009,1
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.8774,1
0,n<=128,sr<=5%,kvB<=16k,kp=0,0.2973,4
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0889,4
0,n<=128,sr<=5%,kvB<=32k,kp=0,0.3051,4
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.2696,4
0,n<=128,sr<=70%,kvB<=16k,kp=0,0.0059,1
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.2129,1
0,n<=128,sr<=70%,kvB<=32k,kp=0,0.0034,1
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.0025,1
0,n<=128,sr>70%,kvB<=16k,kp=0,0.9621,2
0,n<=128,sr>70%,kvB<=1k,kp=0,0.8167,2
0,n<=128,sr>70%,kvB<=32k,kp=0,0.9457,2
0,n<=128,sr>70%,kvB<=4k,kp=0,0.9307,2
0,n<=2,sr<=70%,kvB<=16k,kp=0,0.5144,1
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.9056,1
0,n<=2,sr<=70%,kvB<=32k,kp=0,-0.5054,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.5784,1
0,n<=256,sr<=15%,kvB<=16k,kp=0,0.0296,2
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.1053,2
0,n<=256,sr<=15%,kvB<=32k,kp=0,0.087,2
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0671,2
0,n<=256,sr<=40%,kvB<=16k,kp=0,-0.0017,1
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.2011,1
0,n<=256,sr<=40%,kvB<=32k,kp=0,0.2082,1
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0054,1
0,n<=256,sr<=5%,kvB<=16k,kp=0,-0.0004,4
0,n<=256,sr<=5%,kvB<=1k,kp=0,-0.0047,4
0,n<=256,sr<=5%,kvB<=32k,kp=0,-0.0037,4
0,n<=256,sr<=5%,kvB<=4k,kp=0,-0.0505,4
0,n<=256,sr<=70%,kvB<=16k,kp=0,0.0038,1
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.2108,1
0,n<=256,sr<=70%,kvB<=32k,kp=0,0.3626,1
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0061,1
0,n<=256,sr>70%,kvB<=16k,kp=0,0.6054,2
0,n<=256,sr>70%,kvB<=1k,kp=0,0.5049,2
0,n<=256,sr>70%,kvB<=32k,kp=0,-0.0018,1
0,n<=256,sr>70%,kvB<=4k,kp=0,0.223,2
0,n<=32,sr<=15%,kvB<=16k,kp=0,0.2111,3
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.3198,3
0,n<=32,sr<=15%,kvB<=32k,kp=0,0.2369,3
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.0753,3
0,n<=32,sr<=40%,kvB<=16k,kp=0,0.02,1
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.2834,1
0,n<=32,sr<=40%,kvB<=32k,kp=0,0.0824,1
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.0348,1
0,n<=32,sr<=5%,kvB<=16k,kp=0,0.2509,1
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.2615,1
0,n<=32,sr<=5%,kvB<=32k,kp=0,0.2889,1
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.1017,1
0,n<=32,sr<=70%,kvB<=16k,kp=0,0.003,1
0,n<=32,sr<=70%,kvB<=1k,kp=0,-0.298,1
0,n<=32,sr<=70%,kvB<=32k,kp=0,-0.0003,1
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.1014,1
0,n<=32,sr>70%,kvB<=16k,kp=0,0.8856,2
0,n<=32,sr>70%,kvB<=1k,kp=0,0.1535,2
0,n<=32,sr>70%,kvB<=32k,kp=0,0.9033,2
0,n<=32,sr>70%,kvB<=4k,kp=0,0.7739,2
0,n<=8,sr<=15%,kvB<=16k,kp=0,0.0488,1
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.1688,3
0,n<=8,sr<=15%,kvB<=32k,kp=0,0.1671,1
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.3351,2
0,n<=8,sr<=40%,kvB<=16k,kp=0,-0.0992,2
0,n<=8,sr<=40%,kvB<=1k,kp=0,1.3472,2
0,n<=8,sr<=40%,kvB<=32k,kp=0,-0.0027,2
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.3514,2
0,n<=8,sr<=70%,kvB<=16k,kp=0,-0.309,1
0,n<=8,sr<=70%,kvB<=1k,kp=0,0.3405,1
0,n<=8,sr<=70%,kvB<=32k,kp=0,0.039,1
0,n<=8,sr<=70%,kvB<=4k,kp=0,0.4144,1
0,n<=8,sr>70%,kvB<=16k,kp=0,0.1692,2
0,n<=8,sr>70%,kvB<=1k,kp=0,0.1663,2
0,n<=8,sr>70%,kvB<=32k,kp=0,0.9353,2
0,n<=8,sr>70%,kvB<=4k,kp=0,0.2806,2
16,n<=128,sr<=15%,kvB<=16k,kp<=20k,0.1346,2
16,n<=128,sr<=15%,kvB<=16k,kp<=2k,0.0678,2
16,n<=128,sr<=15%,kvB<=16k,kp<=512,0.0695,2
16,n<=128,sr<=15%,kvB<=16k,kp<=8k,0.0539,2
16,n<=128,sr<=15%,kvB<=16k,kp=0,0.0697,2
16,n<=128,sr<=15%,kvB<=1k,kp<=20k,0.2521,2
16,n<=128,sr<=15%,kvB<=1k,kp<=2k,0.4556,2
