prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,14.5713
0,0,1,32,14.6347
0,0,1,64,14.7847
0,0,1,128,20.332
0,0,1,256,26.2617
0,0,1,512,38.0063
0,0,1,1024,61.8783
0,0,1,2048,109.634
0,0,1,4096,213.38
0,0,1,8192,213.06
0,0,2,16,14.7843
0,0,2,32,14.859
0,0,2,64,14.9973
0,0,2,128,20.5237
0,0,2,256,26.5077
0,0,2,512,38.2193
0,0,2,1024,62.241
0,0,2,2048,109.923
0,0,2,4096,214.095
0,0,2,8192,213.817
0,0,4,16,22.5817
0,0,4,32,22.7413
0,0,4,64,23.19
0,0,4,128,34.3793
0,0,4,256,46.7633
0,0,4,512,70.412
0,0,4,1024,118.114
0,0,4,2048,214.116
0,0,4,4096,423.656
0,0,4,8192,424.136
0,0,8,16,30.6783
0,0,8,32,30.998
0,0,8,64,31.8623
0,0,8,128,48.598
0,0,8,256,66.913
0,0,8,512,102.06
0,0,8,1024,173.582
0,0,8,2048,318.385
0,0,8,4096,629.943
0,0,8,8192,629.175
0,0,16,16,53.3877
0,0,16,32,53.8997
0,0,16,64,55.1797
0,0,16,128,88.9937
0,0,16,256,125.08
0,0,16,512,195.684
0,0,16,1024,339.292
0,0,16,2048,625.953
0,0,16,4096,1247.82
0,0,16,8192,1247.66
0,0,32,16,98.7753
0,0,32,32,99.9377
0,0,32,64,101.794
0,0,32,128,169.272
0,0,32,256,240.879
0,0,32,512,383.997
0,0,32,1024,674.232
0,0,32,2048,1245.44
0,0,32,4096,2483.07
0,0,32,8192,2483.25
0,0,64,16,183.012
0,0,64,32,184.974
0,0,64,64,189.219
0,0,64,128,319.643
0,0,64,256,463.678
0,0,64,512,748.986
0,0,64,1024,1322.01
0,0,64,2048,2471.1
0,0,64,4096,4944.73
0,0,64,8192,4948.63
0,0,128,16,358.493
0,0,128,32,362.418
0,0,128,64,372.274
0,0,128,128,645.538
0,0,128,256,929.15
0,0,128,512,1497.24
0,0,128,1024,2639.37
0,0,128,2048,4948.58
0,0,128,4096,9946.81
0,0,128,8192,9947.74
0,0,256,16,708.729
0,0,256,32,725.615
0,0,256,64,761.221
0,0,256,128,1285.1
0,0,256,256,1846.43
0,0,256,512,2970.79
0,0,256,1024,5245.44
0,0,256,2048,9850.64
0,0,256,4096,19830.3
0,0,256,8192,19860.7
16,0,0,0,14.624
16,0,1,16,14.6993
16,0,1,32,14.72
16,0,1,64,14.699
16,0,1,128,19.755
16,0,1,256,25.686
16,0,1,512,37.5263
16,0,1,1024,61.4303
16,0,1,2048,109.293
16,0,1,4096,213.06
16,0,1,8192,213.199
16,0,2,16,22.3473
16,0,2,32,22.3893
16,0,2,64,22.5393
16,0,2,128,28.9397
16,0,2,256,34.582
16,0,2,512,46.5607
16,0,2,1024,70.049
16,0,2,2048,117.539
16,0,2,4096,219.706
16,0,2,8192,219.962
16,0,4,16,22.4967
16,0,4,32,22.688
16,0,4,64,22.9233
16,0,4,128,33.4623
16,0,4,256,45.3133
16,0,4,512,69.1853
16,0,4,1024,116.813
16,0,4,2048,212.687
16,0,4,4096,421.544
16,0,4,8192,421.342
16,0,8,16,37.825
16,0,8,32,38.017
16,0,8,64,38.4117
16,0,8,128,55.1583
16,0,8,256,72.7057
16,0,8,512,108.13
16,0,8,1024,179.716
16,0,8,2048,323.474
16,0,8,4096,630.85
