layer,tokens,time_us
act_fn,1,2.12267
act_fn,2,2.24033
act_fn,3,2.26133
act_fn,4,2.27233
act_fn,5,2.24
act_fn,6,2.37867
act_fn,7,2.37867
act_fn,8,2.347
act_fn,9,2.35733
act_fn,10,2.4
act_fn,11,2.432
act_fn,12,2.48533
act_fn,13,2.61367
act_fn,14,2.667
act_fn,15,2.69867
act_fn,16,2.699
act_fn,20,2.58167
act_fn,24,2.752
act_fn,28,2.84867
act_fn,32,3.02967
act_fn,36,3.136
act_fn,40,3.2
act_fn,44,3.34933
act_fn,48,3.42467
act_fn,52,3.488
act_fn,56,3.584
act_fn,60,3.78667
act_fn,64,3.73333
act_fn,80,4.747
act_fn,96,5.49333
act_fn,112,6.37867
act_fn,128,6.92333
act_fn,144,8.80033
act_fn,160,10.2937
act_fn,176,12.0007
act_fn,192,12.598
act_fn,208,14.0913
act_fn,224,15.403
act_fn,240,16.8327
act_fn,256,17.9953
act_fn,272,17.6753
act_fn,288,18.9983
act_fn,304,20.0433
act_fn,320,21.3877
act_fn,336,22.529
act_fn,352,23.745
act_fn,368,24.8863
act_fn,384,26.3587
act_fn,400,29.4627
act_fn,416,30.7537
act_fn,432,32.0757
act_fn,448,32.983
act_fn,464,34.444
act_fn,480,35.6283
act_fn,496,36.8123
act_fn,512,37.89
act_fn,528,38.1027
act_fn,544,39.319
act_fn,560,40.695
act_fn,576,41.8897
act_fn,592,43.3727
act_fn,608,44.0873
act_fn,624,45.4847
act_fn,640,46.8393
act_fn,656,46.157
act_fn,672,47.0313
act_fn,688,48.1943
act_fn,704,49.9013
act_fn,720,51.2237
act_fn,736,52.2693
act_fn,752,53.6987
act_fn,768,54.979
act_fn,784,57.3467
act_fn,800,58.6477
act_fn,816,59.6187
act_fn,832,60.8663
act_fn,848,62.0083
act_fn,864,63.406
act_fn,880,64.515
act_fn,896,65.7847
act_fn,912,66.5417
act_fn,928,67.8113
act_fn,944,69.2297
act_fn,960,70.5743
act_fn,976,71.278
act_fn,992,72.675
act_fn,1008,73.411
act_fn,1024,75.1287
act_fn,1040,74.2437
act_fn,1056,75.4163
act_fn,1072,77.017
act_fn,1088,78.0197
act_fn,1104,79.011
act_fn,1120,80.6863
act_fn,1136,81.764
act_fn,1152,83.033
act_fn,1168,81.4867
act_fn,1184,82.6707
act_fn,1200,84.2707
act_fn,1216,85.4333
act_fn,1232,86.564
act_fn,1248,87.812
act_fn,1264,88.8467
act_fn,1280,90.116
act_fn,1296,94.543
act_fn,1312,95.855
act_fn,1328,96.8897
act_fn,1344,97.765
act_fn,1360,99.4713
act_fn,1376,100.688
act_fn,1392,101.722
act_fn,1408,102.864
act_fn,1424,103.13
act_fn,1440,104.058
act_fn,1456,105.21
act_fn,1472,106.501
act_fn,1488,107.792
act_fn,1504,108.698
act_fn,1520,110.554
act_fn,1536,111.952
act_fn,1552,109.872
act_fn,1568,111.205
act_fn,1584,112.645
act_fn,1600,114.107
act_fn,1616,115.152
act_fn,1632,116.262
act_fn,1648,117.2
act_fn,1664,118.758
act_fn,1680,122.32
act_fn,1696,123.558
act_fn,1712,124.806
act_fn,1728,125.926
act_fn,1744,127.163
act_fn,1760,128.156
act_fn,1776,129.574
act_fn,1792,130.833
act_fn,1808,130.918
act_fn,1824,132.027
act_fn,1840,133.393
act_fn,1856,134.363
act_fn,1872,135.644
act_fn,1888,136.646
act_fn,1904,137.851
act_fn,1920,139.217
act_fn,1936,138.246
act_fn,1952,139.814
act_fn,1968,141.159
act_fn,1984,142.012
act_fn,2000,143.218
act_fn,2016,145.148
act_fn,2032,146.279
act_fn,2048,146.951
act_fn,2064,150.737
act_fn,2080,151.324
act_fn,2096,152.477
act_fn,2112,154.215
act_fn,2128,154.727
act_fn,2144,155.709
act_fn,2160,156.701
act_fn,2176,158.311
act_fn,2192,158.674
act_fn,2208,159.836
act_fn,2224,161.127
act_fn,2240,162.076
act_fn,2256,163.005
act_fn,2272,164.338
act_fn,2288,165.533
act_fn,2304,166.951
act_fn,2320,166.514
act_fn,2336,167.837
act_fn,2352,169.171
act_fn,2368,170.258
act_fn,2384,171.389
act_fn,2400,172.84
act_fn,2416,173.864
act_fn,2432,175.219
act_fn,2448,173.917
act_fn,2464,175.155
act_fn,2480,176.541
act_fn,2496,177.491
act_fn,2512,179.091
act_fn,2528,179.645
act_fn,2544,182.099
act_fn,2560,183.229
act_fn,2576,186.505
act_fn,2592,188.489
act_fn,2608,189.086
act_fn,2624,189.736
act_fn,2640,191.155
act_fn,2656,192.233
act_fn,2672,193.982
act_fn,2688,194.931
act_fn,2704,194.782
act_fn,2720,196.254
act_fn,2736,197.587
act_fn,2752,198.153
act_fn,2768,199.54
act_fn,2784,201.14
act_fn,2800,201.897
act_fn,2816,203.358
act_fn,2832,202.548
act_fn,2848,204.191
act_fn,2864,204.809
act_fn,2880,206.772
act_fn,2896,207.284
act_fn,2912,208.767
act_fn,2928,210.1
act_fn,2944,211.391
act_fn,2960,214.591
act_fn,2976,215.455
act_fn,2992,216.703
act_fn,3008,218.037
act_fn,3024,218.943
act_fn,3040,220
act_fn,3056,221.247
act_fn,3072,222.101
act_fn,3088,222.644
act_fn,3104,223.594
act_fn,3120,225.098
act_fn,3136,225.963
act_fn,3152,227.519
act_fn,3168,228.789
act_fn,3184,230.154
act_fn,3200,231.423
act_fn,3216,230.847
act_fn,3232,231.135
act_fn,3248,232.576
act_fn,3264,233.813
act_fn,3280,235.391
act_fn,3296,236.939
act_fn,3312,238.038
act_fn,3328,238.603
act_fn,3344,238.304
act_fn,3360,239.307
act_fn,3376,240.651
act_fn,3392,242.283
act_fn,3408,242.528
act_fn,3424,244.608
act_fn,3440,245.611
act_fn,3456,247.659
act_fn,3472,251.851
act_fn,3488,252.171
act_fn,3504,253.697
act_fn,3520,253.515
act_fn,3536,255.329
act_fn,3552,257.43
act_fn,3568,257.825
act_fn,3584,259.756
act_fn,3600,258.635
act_fn,3616,259.947
act_fn,3632,261.42
act_fn,3648,261.792
act_fn,3664,263.457
act_fn,3680,265.314
act_fn,3696,266.22
act_fn,3712,267.233
act_fn,3728,266.028
act_fn,3744,266.966
act_fn,3760,268.289
act_fn,3776,269.153
act_fn,3792,270.946
act_fn,3808,272.023
act_fn,3824,272.94
act_fn,3840,274.849
act_fn,3856,278.327
act_fn,3872,279.554
act_fn,3888,280.727
act_fn,3904,282.061
act_fn,3920,282.519
