pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.0901,2
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.0421,2
0,n<=128,sr<=15%,kvB<=8k,kp=0,-0.1955,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.2117,1
0,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0092,1
0,n<=128,sr<=40%,kvB<=8k,kp=0,-1.4332,1
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.0745,4
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.0155,4
0,n<=128,sr<=5%,kvB<=8k,kp=0,0.013,4
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.2958,1
0,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0186,1
0,n<=128,sr>70%,kvB<=1k,kp=0,0.3801,2
0,n<=128,sr>70%,kvB<=4k,kp=0,0.0456,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.9252,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,0.9697,1
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.0648,2
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0461,2
0,n<=256,sr<=15%,kvB<=8k,kp=0,-0.6013,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.2212,1
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0009,1
0,n<=256,sr<=40%,kvB<=8k,kp=0,-1.3852,1
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0122,4
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.006,4
0,n<=256,sr<=5%,kvB<=8k,kp=0,0.0392,4
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.2176,1
0,n<=256,sr<=70%,kvB<=4k,kp=0,-0.0094,1
0,n<=256,sr<=70%,kvB<=8k,kp=0,-294.8885,1
0,n<=256,sr>70%,kvB<=1k,kp=0,0.4162,2
0,n<=256,sr>70%,kvB<=4k,kp=0,0.0667,2
0,n<=256,sr>70%,kvB<=8k,kp=0,-494.5405,1
0,n<=32,sr<=15%,kvB<=1k,kp=0,0.1689,3
0,n<=32,sr<=15%,kvB<=4k,kp=0,0.0838,3
0,n<=32,sr<=15%,kvB<=8k,kp=0,-0.1374,3
0,n<=32,sr<=40%,kvB<=1k,kp=0,0.2291,1
0,n<=32,sr<=40%,kvB<=4k,kp=0,0.0223,1
0,n<=32,sr<=40%,kvB<=8k,kp=0,-1.3247,1
0,n<=32,sr<=5%,kvB<=1k,kp=0,0.1389,1
0,n<=32,sr<=5%,kvB<=4k,kp=0,0.0782,1
0,n<=32,sr<=5%,kvB<=8k,kp=0,0.0554,1
0,n<=32,sr<=70%,kvB<=1k,kp=0,0.3699,1
0,n<=32,sr<=70%,kvB<=4k,kp=0,0.0442,1
0,n<=32,sr>70%,kvB<=1k,kp=0,0.7156,2
0,n<=32,sr>70%,kvB<=4k,kp=0,0.1485,2
0,n<=8,sr<=15%,kvB<=1k,kp=0,0.39,3
0,n<=8,sr<=15%,kvB<=4k,kp=0,0.3709,2
0,n<=8,sr<=15%,kvB<=8k,kp=0,0.0175,1
0,n<=8,sr<=40%,kvB<=1k,kp=0,0.527,2
0,n<=8,sr<=40%,kvB<=4k,kp=0,0.3837,2
