layer,sequences,time_us
lm_head,1,226.352
lm_head,2,243.216
lm_head,3,244.507
lm_head,4,245.361
lm_head,5,246.982
lm_head,6,254.513
lm_head,7,255.345
lm_head,8,255.238
lm_head,9,256.23
lm_head,10,256.881
lm_head,11,256.603
lm_head,12,256.827
lm_head,13,257.883
lm_head,14,258.246
lm_head,15,258.854
lm_head,16,259.089
lm_head,20,225.541
lm_head,24,226.224
lm_head,28,227.024
lm_head,32,285.308
lm_head,36,286.481
lm_head,40,286.332
lm_head,44,286.972
lm_head,48,287.314
lm_head,52,287.804
lm_head,56,286.78
lm_head,60,288.679
lm_head,64,287.42
lm_head,80,365.523
lm_head,96,366.836
lm_head,112,366.921
lm_head,128,367.401
lm_head,144,615.663
lm_head,160,616.634
lm_head,176,617.305
lm_head,192,713.841
lm_head,208,714.267
lm_head,224,715.75
lm_head,240,716.582
lm_head,256,717.713
sampler,1,18.39
sampler,2,18.486
sampler,3,18.5187
sampler,4,18.795
sampler,5,18.8167
sampler,6,21.3447
sampler,7,21.4087
sampler,8,21.3023
sampler,9,22.4647
sampler,10,23.7123
sampler,11,23.6277
sampler,12,23.8943
sampler,13,24.1397
sampler,14,24.588
sampler,15,24.7583
sampler,16,25.4303
sampler,20,28.0753
sampler,24,31.7987
sampler,28,34.721
sampler,32,35.8097
sampler,36,38.9133
sampler,40,40.748
sampler,44,43.66
sampler,48,46.082
sampler,52,49.0897
sampler,56,51.3083
sampler,60,54.4343
sampler,64,56.5037
sampler,80,68.9197
sampler,96,80.8243
sampler,112,92.4933
sampler,128,104.302
sampler,144,116.068
sampler,160,128.378
sampler,176,139.247
sampler,192,150.97
sampler,208,173.937
sampler,224,183.409
sampler,240,194.759
sampler,256,202.46
