regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,133.06,186.053,182.726,0.9372
pure,2,1,0.5,4.0,0,0,512,2048,1280,397.517,608.562,604.946,0.9829
pure,2,1,0.5,4.0,0,0,2048,8192,5120,1192.963,1194.018,1189.09,-3.6711
mixed,2,1,0.5,4.0,16,0,128,512,320,130.179,183.686,183.334,0.9934
mixed,2,1,0.5,4.0,16,0,512,2048,1280,394.86,606.353,605.489,0.9959
mixed,2,1,0.5,4.0,16,0,2048,8192,5120,1192.002,1192.58,1188.226,-6.5329
mixed,2,1,0.5,4.0,16,512,128,512,320,184.966,187.044,183.973,-0.4779
mixed,2,1,0.5,4.0,16,512,512,2048,1280,395.148,607.089,605.651,0.9932
mixed,2,1,0.5,4.0,16,512,2048,8192,5120,1194.083,1193.474,1192.644,
mixed,2,1,0.5,4.0,16,2048,128,512,320,606.77,606.291,605.553,
mixed,2,1,0.5,4.0,16,2048,512,2048,1280,606.194,609.296,606.032,-0.0522
mixed,2,1,0.5,4.0,16,2048,2048,8192,5120,1194.113,1193.761,1191.938,
mixed,2,1,0.5,4.0,16,8192,128,512,320,1190.275,1186.659,1190.401,
mixed,2,1,0.5,4.0,16,8192,512,2048,1280,1190.882,1190.786,1191.17,
mixed,2,1,0.5,4.0,16,8192,2048,8192,5120,1193.794,1192.419,1190.498,
mixed,2,1,0.5,4.0,64,0,128,512,320,130.691,184.134,183.718,0.9922
mixed,2,1,0.5,4.0,64,0,512,2048,1280,395.275,607.41,605.489,0.9909
mixed,2,1,0.5,4.0,64,0,2048,8192,5120,1194.562,1193.987,1191.971,
mixed,2,1,0.5,4.0,64,512,128,512,320,188.101,188.422,188.037,-0.1994
mixed,2,1,0.5,4.0,64,512,512,2048,1280,395.243,606.575,606.226,0.9983
mixed,2,1,0.5,4.0,64,512,2048,8192,5120,1193.696,1193.538,1190.563,
mixed,2,1,0.5,4.0,64,2048,128,512,320,609.938,610.514,610.129,0.3316
mixed,2,1,0.5,4.0,64,2048,512,2048,1280,610.098,610.992,609.809,-0.3233
mixed,2,1,0.5,4.0,64,2048,2048,8192,5120,1192.291,1192.93,1189.633,-4.1596
mixed,2,1,0.5,4.0,64,8192,128,512,320,1192.673,1192.45,1192.994,
mixed,2,1,0.5,4.0,64,8192,512,2048,1280,1193.57,1195.394,1191.907,-0.9117
mixed,2,1,0.5,4.0,64,8192,2048,8192,5120,1195.233,1194.563,1195.395,
mixed,2,1,0.5,4.0,256,0,128,512,320,167.814,219.75,217.767,0.9618
mixed,2,1,0.5,4.0,256,0,512,2048,1280,430.059,641.426,637.426,0.9811
mixed,2,1,0.5,4.0,256,0,2048,8192,5120,1222.756,1221.667,1222.306,
mixed,2,1,0.5,4.0,256,512,128,512,320,357.963,410.955,307.913,-0.9445
mixed,2,1,0.5,4.0,256,512,512,2048,1280,572.434,781.91,774.934,0.9667
mixed,2,1,0.5,4.0,256,512,2048,8192,5120,1369.702,1363.654,1368.679,
mixed,2,1,0.5,4.0,256,2048,128,512,320,777.144,830.231,726.228,-0.9591
mixed,2,1,0.5,4.0,256,2048,512,2048,1280,1042.269,1251.331,832.088,-1.0054
mixed,2,1,0.5,4.0,256,2048,2048,8192,5120,1811.635,1809.139,1796.851,
mixed,2,1,0.5,4.0,256,8192,128,512,320,1309.924,1360.775,1255.62,-1.0679
mixed,2,1,0.5,4.0,256,8192,512,2048,1280,1579.501,1802.225,1364.198,-0.9667
mixed,2,1,0.5,4.0,256,8192,2048,8192,5120,2373.027,2368.066,1805.588,
mixed,2,1,0.5,4.0,1024,0,128,512,320,734.101,752.98,738.165,0.2153
mixed,2,1,0.5,4.0,1024,0,512,2048,1280,897.787,1139.648,1080.926,0.7572
mixed,2,1,0.5,4.0,1024,0,2048,8192,5120,1727.826,1728.177,1716.498,-32.2735
mixed,2,1,0.5,4.0,1024,512,128,512,320,1202.017,1220.804,1203.489,0.0784
mixed,2,1,0.5,4.0,1024,512,512,2048,1280,1283.716,1510.602,1438.633,0.6828
mixed,2,1,0.5,4.0,1024,512,2048,8192,5120,2180.892,2183.579,2127.196,-19.9836
mixed,2,1,0.5,4.0,1024,2048,128,512,320,2497.284,2505.382,2475.75,-2.6592
mixed,2,1,0.5,4.0,1024,2048,512,2048,1280,2711.979,2858.224,2701.036,-0.0748
mixed,2,1,0.5,4.0,1024,2048,2048,8192,5120,3336.542,3334.11,3270.749,
mixed,2,1,0.5,4.0,1024,8192,128,512,320,3682.216,3728.552,3633.896,-1.0428
mixed,2,1,0.5,4.0,1024,8192,512,2048,1280,3946.958,4165.238,3739.786,-0.9491
mixed,2,1,0.5,4.0,1024,8192,2048,8192,5120,4741.35,4737.892,4188.916,
mixed,2,1,0.5,4.0,4096,0,128,512,320,7571.571,7582.931,7565.042,-0.5747
mixed,2,1,0.5,4.0,4096,0,512,2048,1280,7651.381,7732.12,7652.025,0.008
mixed,2,1,0.5,4.0,4096,0,2048,8192,5120,7996.319,7995.008,7852.445,
mixed,2,1,0.5,4.0,4096,512,128,512,320,9066.56,9081.919,9063.163,-0.2212
mixed,2,1,0.5,4.0,4096,512,512,2048,1280,9155.327,9215.168,9149.728,-0.0936
mixed,2,1,0.5,4.0,4096,512,2048,8192,5120,9498.696,9493.447,9335.681,
mixed,2,1,0.5,4.0,4096,2048,128,512,320,12382.103,12401.632,12392.435,0.5291
mixed,2,1,0.5,4.0,4096,2048,512,2048,1280,12465.908,12537.882,12471.002,0.0708
mixed,2,1,0.5,4.0,4096,2048,2048,8192,5120,12794.339,12782.885,12663.105,
mixed,2,1,0.5,4.0,4096,8192,128,512,320,14218.892,14209.803,14201.354,
mixed,2,1,0.5,4.0,4096,8192,512,2048,1280,14208.198,14212.68,14211.975,0.8427
mixed,2,1,0.5,4.0,4096,8192,2048,8192,5120,14330.828,14315.407,14246.22,
pure,8,1,0.125,4.0,0,0,128,512,176,148.773,356.139,247.526,0.4762
pure,8,1,0.125,4.0,0,0,512,2048,704,460.748,1202.464,772.053,0.4197
pure,8,1,0.125,4.0,0,0,2048,8192,2816,1624.717,2372.64,1794.129,0.2265
mixed,8,1,0.125,4.0,16,0,128,512,176,143.939,351.594,242.727,0.4757
mixed,8,1,0.125,4.0,16,0,512,2048,704,456.171,1198.211,766.325,0.418
mixed,8,1,0.125,4.0,16,0,2048,8192,2816,1620.013,2368.707,1791.346,0.2288
mixed,8,1,0.125,4.0,16,512,128,512,176,250.759,357.544,249.67,-0.0102
mixed,8,1,0.125,4.0,16,512,512,2048,704,455.982,1198.113,773.878,0.4284
mixed,8,1,0.125,4.0,16,512,2048,8192,2816,1621.005,2370.591,1791.633,0.2276
mixed,8,1,0.125,4.0,16,2048,128,512,176,669.331,773.173,667.634,-0.0163
mixed,8,1,0.125,4.0,16,2048,512,2048,704,827.607,1202.432,775.413,-0.1392
mixed,8,1,0.125,4.0,16,2048,2048,8192,2816,1618.605,2370.114,1797.68,0.2383
mixed,8,1,0.125,4.0,16,8192,128,512,176,1253.348,1359.909,1251.746,-0.015
mixed,8,1,0.125,4.0,16,8192,512,2048,704,1415.08,1796.243,1362.405,-0.1382
mixed,8,1,0.125,4.0,16,8192,2048,8192,2816,2012.472,2373.184,1799.793,-0.5896
mixed,8,1,0.125,4.0,64,0,128,512,176,146.724,350.986,244.229,0.4774
mixed,8,1,0.125,4.0,64,0,512,2048,704,456.396,1197.794,768.693,0.4212
mixed,8,1,0.125,4.0,64,0,2048,8192,2816,1621.358,2370.914,1793.168,0.2292
mixed,8,1,0.125,4.0,64,512,128,512,176,257.734,360.202,253.894,-0.0375
mixed,8,1,0.125,4.0,64,512,512,2048,704,456.622,1198.401,773.749,0.4275
mixed,8,1,0.125,4.0,64,512,2048,8192,2816,1620.779,2372.513,1789.457,0.2244
mixed,8,1,0.125,4.0,64,2048,128,512,176,674.098,778.645,671.731,-0.0226
mixed,8,1,0.125,4.0,64,2048,512,2048,704,831.157,1203.872,779.635,-0.1382
mixed,8,1,0.125,4.0,64,2048,2048,8192,2816,1620.65,2369.955,1792.592,0.2295
mixed,8,1,0.125,4.0,64,8192,128,512,176,1260.066,1363.333,1256.515,-0.0344
mixed,8,1,0.125,4.0,64,8192,512,2048,704,1419.017,1800.436,1365.125,-0.1413
mixed,8,1,0.125,4.0,64,8192,2048,8192,2816,2012.95,2372.577,1800.434,-0.5909
mixed,8,1,0.125,4.0,256,0,128,512,176,191.494,368.073,286.602,0.5386
mixed,8,1,0.125,4.0,256,0,512,2048,704,469.645,1202.914,779.797,0.423
mixed,8,1,0.125,4.0,256,0,2048,8192,2816,1624.331,2375.295,1796.56,0.2293
mixed,8,1,0.125,4.0,256,512,128,512,176,381.481,525.04,412.715,0.2176
mixed,8,1,0.125,4.0,256,512,512,2048,704,643.889,1209.537,942.009,0.527
mixed,8,1,0.125,4.0,256,512,2048,8192,2816,1624.619,2375.456,1795.826,0.228
mixed,8,1,0.125,4.0,256,2048,128,512,176,799.734,1007.676,844.568,0.2156
mixed,8,1,0.125,4.0,256,2048,512,2048,704,1112.605,1794.352,1169.6,0.0836
mixed,8,1,0.125,4.0,256,2048,2048,8192,2816,2118.426,2507.746,2389.952,0.6974
mixed,8,1,0.125,4.0,256,8192,128,512,176,1333.861,1544.265,1373.764,0.1896
